*******************************************************************************
Revised: Jul 31, 2013                  Earth                                399
 
PHYSICAL PROPERTIES (revised Sep 18, 2013):
 Mean radius, km          = 6371.01+-0.01   Mass, 10^24 kg = 5.97219+-0.0006
 Equ. radius, km          = 6378.14+-0.01   Mass layers:
 Polar axis, km           = 6356.752          Atmos          = 5.1   x 10^18 kg
 Flattening               = 1/298.257         oceans         = 1.4   x 10^21 kg
 Density, gm cm^-3        = 5.515             crust          = 2.6   x 10^22 kg
 J2  (GEM T2, 1990)       = 0.0010826265      mantle         = 4.043 x 10^24 kg
 gp, m s^-2 (polar)       = 9.8321863685      outer core     = 1.835 x 10^24 kg
 ge, m s^-2 (equatorial)  = 9.7803267715      inner core     = 9.675 x 10^22 kg
 go, m s^-2               = 9.82022         Fluid core rad   = 3480 km
 GM, km^3 s^-2            = 398600.440      Inner core rad   = 1215 km
 Mean rot. rate, rad s^-1 = 7.292115*10^-5  Surface Area:
 Sidereal period, hr      = 23.93419          land           = 1.48 x 10^8 km
 Mean solar day, days     = 1.002738          sea            = 3.62 x 10^8 km
 Moment of inertia        = 0.3308          Love no., k2     = 0.299
 Mean Temperature, K      = 270             Atm. pressure    = 1.0 bar
 Solar constant, W/m^2    = 1367.6          Vis. mag. V(1,0) = -3.86
 Volume, 10^10 km^3       = 108.321         Geometric albedo = 0.367 
DYNAMICAL CHARACTERISTICS:
 Obliquity to orbit, deg  = 23.45           Sidereal period  = 1.0000174  yrs
 Orbit velocity, km s^-1  = 29.7859         Sidereal period  = 365.25636  days
 Mean daily motion, n     = 0.9856474 deg/d Escape velocity  = 11.186 km s^-1
 Hill's sphere radius     = 234.9           Magnetic moment  = 0.61 gauss Rp^3
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu Aug  9 00:19:34 2018 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2005-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2007-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453371.500000000, A.D. 2005-Jan-01 00:00:00.0000, -2.706788413560194E+07,  1.445877186284233E+08, -1.968601499900222E+03, -2.976095592898265E+01, -5.581707239655112E+00,  7.823294533664260E-04,  4.906712957354714E+02,  1.470995538185819E+08, -1.006264454716927E-02,
2453372.500000000, A.D. 2005-Jan-02 00:00:00.0000, -2.963499499257435E+07,  1.440830163003709E+08, -1.893477483205497E+03, -2.966139801765133E+01, -6.101004456174639E+00,  9.510805571339986E-04,  4.906698193434995E+02,  1.470991112074037E+08, -2.429965915509391E-04,
2453373.500000000, A.D. 2005-Jan-03 00:00:00.0000, -3.219311207250192E+07,  1.435335034349985E+08, -1.805343930914998E+03, -2.955275486925515E+01, -6.618968802780160E+00,  1.082018970116394E-03,  4.906711182142981E+02,  1.470995005990730E+08,  9.186749160897959E-03,
2453374.500000000, A.D. 2005-Jan-04 00:00:00.0000, -3.474144712864936E+07,  1.429393003932845E+08, -1.707842123918235E+03, -2.943494772967160E+01, -7.135477657482010E+00,  1.166532924763874E-03,  4.906750714557887E+02,  1.471006857510565E+08,  1.816778723126663E-02,
2453375.500000000, A.D. 2005-Jan-05 00:00:00.0000, -3.727920434679456E+07,  1.423005388187360E+08, -1.605336988434196E+03, -2.930787974710557E+01, -7.650391040773426E+00,  1.196579010566357E-03,  4.906815417438478E+02,  1.471026254946177E+08,  2.664581174842634E-02,
2453376.500000000, A.D. 2005-Jan-06 00:00:00.0000, -3.980557871544865E+07,  1.416173635750296E+08, -1.502836023636162E+03, -2.917143509813824E+01, -8.163540714872063E+00,  1.165508900275558E-03,  4.906903776405848E+02,  1.471052744298191E+08,  3.457891521630901E-02,
2453377.500000000, A.D. 2005-Jan-07 00:00:00.0000, -4.231975454891697E+07,  1.408899358073915E+08, -1.405813131228089E+03, -2.902548409179797E+01, -8.674715355539670E+00,  1.069450636638436E-03,  4.907014189060288E+02,  1.471085845179260E+08,  4.195045010991284E-02,
2453378.500000000, A.D. 2005-Jan-08 00:00:00.0000, -4.482090485841602E+07,  1.401184373440083E+08, -1.319891611576080E+03, -2.886989829160135E+01, -9.183645256835836E+00,  9.091420752174173E-04,  4.907145060945851E+02,  1.471125079583516E+08,  4.878538874833901E-02,
2453379.500000000, A.D. 2005-Jan-09 00:00:00.0000, -4.730819254353195E+07,  1.393030761887997E+08, -1.250365438103676E+03, -2.870457743365695E+01, -9.689993862684336E+00,  6.917195198217208E-04,  4.907294948070113E+02,  1.471170014612921E+08,  5.516508523238872E-02,
